25	25																							
0	0	0	11	11	11	11	11	11	11	11	12	12	12	11	11	11	11	11	11	11	11	0	0	0
11	0	0	0	11	11	11	11	11	11	11	12	12	12	11	11	11	11	11	11	11	0	0	0	11
11	11	0	0	0	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	0	0	0	11	11
11	11	11	0	0	0	11	11	11	11	11	11	11	11	11	11	11	11	11	0	0	0	11	11	11
11	11	11	11	0	0	0	11	11	11	11	11	11	11	11	11	11	11	0	0	0	11	11	11	11
11	11	11	11	11	0	0	0	11	11	11	11	11	11	11	11	11	0	0	0	11	11	11	11	11
11	11	11	11	11	11	0	0	0	11	11	11	5	11	11	11	0	0	0	11	11	11	11	11	11
11	11	11	11	11	11	11	0	0	0	11	5	5	5	11	0	0	0	11	11	11	11	11	11	11
11	11	11	11	11	11	11	11	0	0	0	0	5	0	0	0	0	11	11	11	11	11	11	11	11
11	11	11	11	11	11	11	11	11	0	0	0	5	0	0	0	11	11	11	11	11	11	11	11	11
12	12	11	11	11	11	11	11	5	0	0	0	5	0	0	0	5	11	11	11	11	11	11	12	12
12	12	11	11	11	11	11	5	5	5	5	5	5	5	5	5	5	5	11	11	11	11	11	12	12
12	12	11	11	11	11	11	11	5	0	0	0	5	0	0	0	5	11	11	11	11	11	11	12	12
11	11	11	11	11	11	11	11	11	0	0	0	5	0	0	0	11	11	11	11	11	11	11	11	11
11	11	11	11	11	11	11	11	0	0	0	0	5	0	0	0	0	11	11	11	11	11	11	11	11
11	11	11	11	11	11	11	0	0	0	11	5	5	5	11	0	0	0	11	11	11	11	11	11	11
11	11	11	11	11	11	0	0	0	11	11	11	5	11	11	11	0	0	0	11	11	11	11	11	11
11	11	11	11	11	0	0	0	11	11	11	11	11	11	11	11	11	0	0	0	11	11	11	11	11
11	11	11	11	0	0	0	11	11	11	11	11	11	11	11	11	11	11	0	0	0	11	11	11	11
11	11	11	0	0	0	11	11	11	11	11	11	11	11	11	11	11	11	11	0	0	0	11	11	11
11	11	0	0	0	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	0	0	0	11	11
11	0	0	0	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	0	0	0	11
0	0	0	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	0	0	0
0	0	11	11	11	11	11	11	11	11	11	12	12	12	11	11	11	11	11	11	11	11	11	0	0
0	11	11	11	11	11	11	11	11	11	11	12	12	12	11	11	11	11	11	11	11	11	11	11	0
